30	30	OK
36	36	OK
316	316	OK
413	413	OK
457	457	OK
513	513	OK
581	581	OK
582	582	OK
609	609	OK
722	722	OK
746	746	OK
827	827	OK
903	903	OK
904	904	OK
966	966	OK
161	161	OK
37	37	OK
80	80	OK
135	135	OK
147	147	OK
242	242	OK
267	267	OK
327	327	OK
398	398	OK
443	443	OK
522	522	OK
569	569	OK
651	651	OK
653	653	OK
688	688	OK
930	930	OK
338	338	OK
78	78	OK
93	93	OK
99	99	OK
285	285	OK
311	311	OK
312	312	OK
331	331	OK
465	465	OK
553	553	OK
611	611	OK
623	623	OK
682	682	OK
826	826	OK
996	996	OK
1002	1002	OK
567	567	OK
28	28	OK
147	147	OK
149	149	OK
161	161	OK
185	185	OK
243	243	OK
376	376	OK
443	443	OK
457	457	OK
569	569	OK
582	582	OK
664	664	OK
688	688	OK
707	707	OK
929	929	OK
653	653	OK
